arm,label,model_id,runs,replies_received,replies_cut_off,parsed,schema_ok,released_v1,routed_v1,blocked_v1,released_v2,routed_v2,blocked_v2,answers_with_quotes,quotes_total,quotes_matching_evidence,quotes_matching_original_excerpt,cost_usd_total,median_seconds
discovery,gemini31pro,google/gemini-3.1-pro-preview,8,8,0,8,8,3,3,2,3,3,2,8,25,23,21,0.9768,23.026
discovery,qwen3-30b-a3b,qwen/qwen3-30b-a3b-instruct-2507,8,8,0,8,7,2,2,4,2,2,4,8,23,19,14,0.0324,13.08
